market_id,market_name,crop_id,crop_name,n_samples,n_errors,n_direction_reversal,mean_confidence,mean_abs_next_return,error_rate,direction_reversal_rate
830,鳳山區,FI2,茄子-麻荸茄,223,119,73,0.4471456784223603,0.13892186084445354,0.5336322869955157,0.3273542600896861
800,高雄市,FY5,玉米-糯米黑,224,106,73,0.4653535436649888,0.1368749730482259,0.4732142857142857,0.32589285714285715
420,豐原區,FJ3,番茄-牛番茄,225,123,73,0.4534671925178575,0.11859771880110095,0.5466666666666666,0.3244444444444444
800,高雄市場,FW560,滿天星-白,171,98,72,0.5116221813577787,0.15900469942361578,0.5730994152046783,0.42105263157894735
800,高雄市場,FE401,非洲菊-伊斯瑪拉,173,83,72,0.50507479449409,0.24764749690262441,0.4797687861271676,0.4161849710982659
104,台北二,LN2,油菜-小松菜,185,80,72,0.5542785775930358,0.32252503517876335,0.43243243243243246,0.3891891891891892
105,台北市場,FR120,玫瑰-埔里之星,185,91,72,0.5376566346997561,0.19577826068037313,0.4918918918918919,0.3891891891891892
514,彰化市場,FE900,非洲菊-迷你混色,194,94,72,0.5312139939742215,0.19310855334750804,0.4845360824742268,0.3711340206185567
400,台中市場,FS872,OT大連-雙朵,201,95,72,0.4953166154560674,0.23287455852948447,0.472636815920398,0.3582089552238806
800,高雄市場,FS779,OT百合-節奏舞者多朵,202,104,72,0.44364653284167777,0.16208748070712264,0.5148514851485149,0.3564356435643564
400,台中市,LB1,小白菜-土白菜,203,88,72,0.5495874355769975,0.32308919525519336,0.43349753694581283,0.35467980295566504
700,台南市場,FS872,OT大連-雙朵,203,92,72,0.49363167476660064,0.1763455842636816,0.45320197044334976,0.35467980295566504
241,三重區,W4,洋香瓜-新疆,205,103,72,0.5263010899900226,0.19976487092356573,0.5024390243902439,0.35121951219512193
105,台北市場,FH251,秀線,208,85,72,0.5580154688473358,0.27342622673172284,0.40865384615384615,0.34615384615384615
105,台北市場,FO027,萬代蘭-巨輪紫,208,83,72,0.5871826375464331,0.32806735309093127,0.39903846153846156,0.34615384615384615
338,桃農,FY41,玉米-玉米筍 帶殼,208,97,72,0.5643884486706691,0.23450282219670418,0.46634615384615385,0.34615384615384615
400,台中市場,FH006,黃梔花,208,88,72,0.5515576904313658,0.23033769110028351,0.4230769230769231,0.34615384615384615
400,台中市,LQ1,紅鳳菜-紅鳳菜,211,90,72,0.5259007347331291,0.181932870886337,0.4265402843601896,0.3412322274881517
514,彰化市場,FS969,OT試金石-多朵,211,97,72,0.4810028506088604,0.1731598084023244,0.4597156398104265,0.3412322274881517
109,台北一,FH4,扁蒲-梨子蒲,213,99,72,0.49839035455273223,0.1926426018467525,0.4647887323943662,0.3380281690140845
220,板橋區,FV1,辣椒-紅小,213,106,72,0.4847965310724977,0.14566411290220296,0.49765258215962443,0.3380281690140845
338,桃農,LN1,油菜,213,90,72,0.5412009627453818,0.30210734323438104,0.4225352112676056,0.3380281690140845
514,彰化市場,FS633,OT曼尼薩-三朵,213,112,72,0.4610619870650638,0.11374585861245247,0.5258215962441315,0.3380281690140845
900,屏東市,FN1,敏豆-白豆,213,110,72,0.5173392761129889,0.16991887576540526,0.5164319248826291,0.3380281690140845
104,台北二,LA1,甘藍-初秋,214,110,72,0.45158831055407506,0.13408418533316468,0.514018691588785,0.3364485981308411
109,台北一,FY41,玉米-玉米筍 帶殼,214,98,72,0.5066931286842483,0.1627094670199218,0.45794392523364486,0.3364485981308411
109,台北一,LA6,甘藍-甘藍芽,214,91,72,0.56469684783124,0.2696113616020183,0.4252336448598131,0.3364485981308411
338,桃農,FJ3,番茄-牛番茄,214,100,72,0.46117936917881514,0.12955602327117963,0.4672897196261682,0.3364485981308411
105,台北市場,FE110,非洲菊-卡布,215,106,72,0.47576765247497504,0.173967075528575,0.4930232558139535,0.33488372093023255
105,台北市場,FO335,檸檬綠文心蘭,216,94,72,0.5037180401614703,0.166893156124384,0.4351851851851852,0.3333333333333333
105,台北市場,FY993,白竹,216,100,72,0.48549110996063666,0.1716649595531789,0.46296296296296297,0.3333333333333333
950,花蓮市,FC2,胡瓜-改良種,219,87,72,0.550128070860457,0.2478017907728982,0.3972602739726027,0.3287671232876712
950,花蓮市,FN1,敏豆-白豆,219,100,72,0.527046701752679,0.18805502513868955,0.45662100456621,0.3287671232876712
800,高雄市,FT5,南瓜-青如意,224,108,72,0.43533280384430684,0.1480098083689997,0.48214285714285715,0.32142857142857145
420,豐原區,LB1,小白菜-土白菜,225,114,72,0.44274894979241164,0.1963147429358717,0.5066666666666667,0.32
105,台北市場,IO560,進口石斛蘭-白,180,94,71,0.5010165368544869,0.17534614976340118,0.5222222222222223,0.39444444444444443
950,花蓮市,LA1,甘藍-初秋,192,89,71,0.503015813677436,0.19429860783512953,0.4635416666666667,0.3697916666666667
338,桃農,LE1,皇宮菜-小葉,195,84,71,0.5374341387852261,0.20492440118858896,0.4307692307692308,0.3641025641025641
105,台北市場,FS013,香水百合-紅三朵,198,95,71,0.5129176589037402,0.2207469871657547,0.4797979797979798,0.35858585858585856
514,彰化市場,FW560,滿天星-白,199,85,71,0.5116139577581967,0.2149529211954631,0.4271356783919598,0.35678391959798994
700,台南市場,FE409,非洲菊-粉紅魅力,201,90,71,0.5144791587342764,0.20119582184913443,0.44776119402985076,0.35323383084577115
400,台中市場,FR117,玫瑰-萬年紅,202,81,71,0.540093673637948,0.2684824383181864,0.400990099009901,0.35148514851485146
700,台南市場,FS963,OT試金石-三朵,203,100,71,0.4934318081121086,0.19214682526419552,0.49261083743842365,0.3497536945812808
109,台北一,LI71,萵苣菜-紅捲,204,86,71,0.6012197950625962,0.4613289853915247,0.4215686274509804,0.3480392156862745
514,彰化市場,FW472,卡斯比亞-無葉,205,105,71,0.46582447669740684,0.14666590061004167,0.5121951219512195,0.3463414634146341
338,桃農,FV1,辣椒-紅小,206,79,71,0.5738902551844295,0.2955096632511652,0.38349514563106796,0.3446601941747573
514,彰化市場,FU442,洋桔梗-雙瓣粉,206,94,71,0.5507905389966312,0.23221624176971017,0.4563106796116505,0.3446601941747573
830,鳳山區,FY6,玉米-甜軟殼,206,102,71,0.5286143829019418,0.19347162334201515,0.49514563106796117,0.3446601941747573
105,台北市場,FR122,玫瑰-卡門,208,94,71,0.5125402920959983,0.17856899941052926,0.4519230769230769,0.34134615384615385
105,台北市場,FR980,玫瑰-多朵雙色,209,99,71,0.47946648607323045,0.13285334095008092,0.47368421052631576,0.3397129186602871
109,台北一,Q5,蓮霧-黑糖芭比,213,88,71,0.5323350251496525,0.24076507097593233,0.4131455399061033,0.3333333333333333
338,桃農,LB1,小白菜-土白菜,213,89,71,0.5523090228379953,0.3153663529364055,0.41784037558685444,0.3333333333333333
